ID,a1,b1,c1,d1,a2,b2,c2,d2,Length,Width,Height,Box,error_Length,error_Width,error_Height
78,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12.2,12.2,12,12x12x12,0.2,0.2,0
79,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,13.2,11.4,2.2,13x11x2,0.2,0.4,0.2
80,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.2,10,7,15x10x7,0.2,0,0
81,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12.4,3.4,3,12x3x3,0.4,0.4,0
82,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.2,11.4,3.2,15x11x3,0.2,0.4,0.2
83,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,6.2,6.2,6,6x6x6,0.2,0.2,0
84,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,5.8,5.2,5,5x5x5,0.8,0.2,0
85,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,4.6,4.4,4.2,5x5x4,-0.4,-0.6,0.2
86,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,8.6,4.4,3,8x4x3,0.6,0.4,0
87,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,4.4,3.8,2,4x4x2,0.4,-0.2,0
88,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12,9.4,1,12x9x1,0,0.4,0
147,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,8.6,7.6,3,8x8x3,0.6,-0.4,0
148,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.4,10.4,3,15x10x3,0.4,0.4,0
149,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,10.2,10.2,10.2,10x10x10,0.2,0.2,0.2
435,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12.2,12,12,12x12x12,0.2,0,0
436,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,13.2,11.2,2,13x11x2,0.2,0.2,0
437,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.2,10,7,15x10x7,0.2,0,0
438,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12.2,3.4,3,12x3x3,0.2,0.4,0
439,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.2,11.4,3,15x11x3,0.2,0.4,0
440,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,7.4,6.4,6,6x6x6,1.4,0.4,0
441,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,5.4,5.2,5.2,5x5x5,0.4,0.2,0.2
442,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,4.4,4.4,4,4x4x4,0.4,0.4,0
443,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,8.2,4.4,3,8x4x3,0.2,0.4,0
444,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,4.2,4,2,4x4x2,0.2,0,0
445,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12,9.2,1,12x9x1,0,0.2,0
538,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,12.2,12.2,12,12x12x12,0.2,0.2,0
539,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,13.2,11.2,2,13x11x2,0.2,0.2,0
540,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.2,10.2,7,15x10x7,0.2,0.2,0
541,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,13.2,3.4,3,12x3x3,1.2,0.4,0
542,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,15.2,11.4,3,15x11x3,0.2,0.4,0
543,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,6.4,6.2,6,6x6x6,0.4,0.2,0
544,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,5.4,5.2,5.2,5x5x5,0.4,0.2,0.2
545,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,4.6,4.4,4.2,5x5x4,-0.4,-0.6,0.2
546,0.9794,0.0059,0.2016,-32.9368,0.0058,-0.9988,0.0492,496.7688,8.2,4.2,3,8x4x3,0.2,0.2,0
